"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000260001",11.3987260005945,0.133053140523686,0.56594363001287,0.235099634429422,0.814131402428728,0.87232606139154,"TGFBR3L","100507588","transforming growth factor beta receptor 3 like"
"ENSG00000136828",38.7230448929568,0.0665135508069803,0.283841954130271,0.234333049921343,0.814726429967252,0.872899953046381,"RALGPS1","9649","Ral GEF with PH domain and SH3 binding motif 1"
"ENSG00000177483",4.12861148732264,0.201146183524605,0.860734231778753,0.233691395204447,0.815224568444855,0.873369961380902,"RBM44","375316","RNA binding motif protein 44"
"ENSG00000139835",10.7913405522982,0.125969360649765,0.540052511892212,0.233253911195412,0.815564245067202,0.873627095918212,"GRTP1","79774","growth hormone regulated TBC protein 1"
"ENSG00000099337",453.637354402859,-0.0221173684187597,0.0948310922829,-0.233229080107811,0.815583525760541,0.873627095918212,"KCNK6","9424","potassium two pore domain channel subfamily K member 6"
"ENSG00000125485",247.369515400534,-0.0269356249883769,0.115542868169492,-0.233122350302613,0.815666399948126,0.873652162977614,"DDX31","64794","DEAD-box helicase 31"
"ENSG00000129116",7629.71361154756,0.0126469094413234,0.0543732162122754,0.232594470629608,0.816076321367969,0.87402749787806,"PALLD","23022","palladin, cytoskeletal associated protein"
"ENSG00000204370",587.783882501207,-0.018943211148027,0.0815419470823733,-0.23231247015589,0.816295327578294,0.874178263470196,"SDHD","6392","succinate dehydrogenase complex subunit D"
"ENSG00000214253",942.524371075812,0.0151029192198203,0.0650259263560403,0.232259962543655,0.816336107439356,0.874178263470196,"FIS1","51024","fission, mitochondrial 1"
"ENSG00000183644",7.051727816046,-0.158204664190784,0.681586368934436,-0.232112423900311,0.816450695493879,0.87421423893345,"HOATZ","399949","HOATZ cilia and flagella associated protein"
"ENSG00000262621",0.84359012791222,0.4565883676932,1.96751511797209,0.232063460922121,0.816488724177464,0.87421423893345,NA,NA,NA
"ENSG00000102387",7.61240313099569,0.149007838103338,0.642742777324244,0.231831213605639,0.816669112465764,0.87424845410351,"TAF7L","54457","TATA-box binding protein associated factor 7 like"
"ENSG00000181409",3.9145921016535,-0.206169816145483,0.88932172656927,-0.231828156207116,0.816671487235653,0.87424845410351,"AATK","9625","apoptosis associated tyrosine kinase"
"ENSG00000197540",0.801810212435957,0.48652032163305,2.09894807492216,0.231792452345966,0.816699219582196,0.87424845410351,"GZMM","3004","granzyme M"
"ENSG00000118816",3487.20244629283,0.0100664237196708,0.0435082704441748,0.231368050646531,0.817028883711069,0.874537620352347,"CCNI","10983","cyclin I"
"ENSG00000103710",6.70730594327807,0.156920089910336,0.679338914331904,0.23098940249089,0.817323035012171,0.874788734741624,"RASL12","51285","RAS like family 12"
"ENSG00000117899",1019.61301191235,-0.0149217480137105,0.0647214616752721,-0.23055332230563,0.817661834030943,0.87504617496022,"MESD","23184","mesoderm development LRP chaperone"
"ENSG00000133246",0.877685043439642,0.46649666449419,2.02361433082127,0.23052646810663,0.817682698684748,0.87504617496022,"PRAM1","84106","PML-RARA regulated adaptor molecule 1"
"ENSG00000269028",65.5333180140246,0.0505553292837518,0.2202712822586,0.22951393738381,0.818469489255473,0.875824358767694,NA,NA,NA
"ENSG00000108691",879.213925485281,-0.0158295423113498,0.0689964535973118,-0.229425448498218,0.818538258556177,0.875834148021723,"CCL2","6347","C-C motif chemokine ligand 2"
"ENSG00000145526",5.02294606096559,0.185299544676217,0.808813118742747,0.229100567711184,0.818790752227834,0.876038146879894,"CDH18","1016","cadherin 18"
"ENSG00000140006",120.424376527584,-0.0394039338696089,0.172049537772397,-0.22902667673386,0.818848182083583,0.876038146879894,"WDR89","112840","WD repeat domain 89"
"ENSG00000205639",3.99672585325874,-0.200440296661001,0.87568212288495,-0.228896184383264,0.818949606269972,0.876082851449599,"MFSD2B","388931","MFSD2 lysolipid transporter B, sphingolipid"
"ENSG00000105258",50.4864673770939,0.0581903402683131,0.254613894508633,0.228543459423579,0.819223774217605,0.876302867746958,"POLR2I","5438","RNA polymerase II subunit I"
"ENSG00000183258",890.078137475234,0.0157025856983763,0.0687268747823526,0.228478098969347,0.819274580370097,0.876302867746958,"DDX41","51428","DEAD-box helicase 41"
"ENSG00000105085",72.8606983483397,0.0475976884422719,0.209132385718866,0.227595971224929,0.819960352261351,0.876972520911485,"MED26","9441","mediator complex subunit 26"
